,imgsz,stride,bs,model,tracker,n_frames,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDsw,FM,MOTA,MOTP,pre-process ms,infer ms,nms ms,tracker ms,total ms
47,480,4,1,yolov8n-pt,ocsort,225.0,1.537921,1.129448,0.975067,0.243544,0.908638,2246.0,1.0,1.0,2.0,55.0,1699.0,2.0,278.0,0.218166,0.201783,0.4,9.1,1.1,2.0,2835.0
48,640,3,1,yolov8l-pt,bytetrack,300.0,1.63268,1.38011,1.251503,0.491984,0.922932,2994.0,1.0,2.0,1.0,123.0,1521.0,0.0,440.0,0.450902,0.202442,0.5,14.5,1.0,1.5,5250.0
49,320,1,1,yolov8l-pt,bytetrack,900.0,1.548718,1.127736,0.974736,0.247412,0.956129,8985.0,1.0,1.0,2.0,102.0,6762.0,0.0,1054.0,0.23606,0.193673,0.4,13.6,1.0,0.9,14310.0
50,320,4,1,yolov8l-pt,strongsort,225.0,1.542759,1.145417,0.995993,0.266696,0.915902,2246.0,1.0,1.0,2.0,55.0,1647.0,2.0,278.0,0.241318,0.18931,0.6,19.8,1.3,25.2,10552.500000000002
51,640,1,1,yolov8s-pt,ocsort,900.0,1.620326,1.37549,1.249193,0.491263,0.906552,8985.0,1.0,2.0,1.0,455.0,4571.0,11.0,1293.0,0.439399,0.192883,0.6,8.7,1.0,1.9,10980.0
52,480,5,1,yolov8s-pt,strongsort,180.0,1.569334,1.164801,1.043454,0.295265,0.89527,1795.0,1.0,1.0,2.0,62.0,1265.0,0.0,253.0,0.260724,0.188559,0.9,15.3,1.5,26.5,7956.000000000001
53,640,2,1,yolov8l-pt,bytetrack,450.0,1.632754,1.380976,1.254007,0.499555,0.931894,4492.0,1.0,2.0,1.0,164.0,2248.0,0.0,650.0,0.463045,0.197218,0.5,13.8,1.0,1.4,7515.0
54,320,2,1,yolov8m-pt,bytetrack,450.0,1.54262,1.11954,0.952805,0.226402,0.962157,4492.0,1.0,1.0,2.0,40.0,3475.0,0.0,498.0,0.217498,0.209212,0.4,12.5,1.1,1.0,6750.0
55,480,2,1,yolov8n-pt,bytetrack,450.0,1.522499,1.091733,0.911398,0.191229,0.969526,4492.0,0.0,2.0,2.0,27.0,3633.0,0.0,467.0,0.185218,0.220662,0.6,9.3,1.2,0.9,5400.0
56,480,1,1,yolov8l-pt,ocsort,900.0,1.629044,1.383394,1.260991,0.507179,0.925279,8985.0,1.0,2.0,1.0,368.0,4428.0,16.0,1345.0,0.464441,0.198364,0.5,14.5,1.1,2.2,16470.0
57,480,3,1,yolov8s-pt,strongsort,300.0,1.563645,1.169259,1.054442,0.308283,0.8841,2994.0,1.0,1.0,2.0,121.0,2071.0,2.0,421.0,0.267201,0.188284,0.8,14.2,1.5,26.2,12810.0
58,480,4,1,yolov8l-pt,bytetrack,225.0,1.624027,1.301896,1.161621,0.410062,0.95243,2246.0,1.0,2.0,1.0,46.0,1325.0,0.0,318.0,0.389581,0.225436,0.5,14.8,1.0,1.3,3960.0000000000005
59,480,3,1,yolov8m-pt,bytetrack,300.0,1.580483,1.166729,1.049432,0.299265,0.912424,2994.0,1.0,1.0,2.0,86.0,2098.0,0.0,417.0,0.270541,0.214363,0.5,11.8,1.0,1.1,4320.0
60,320,1,1,yolov8s-pt,bytetrack,900.0,1.486945,1.067422,0.849304,0.138453,0.972635,8985.0,1.0,1.0,2.0,35.0,7741.0,0.0,665.0,0.134558,0.181848,0.4,9.4,1.1,0.8,10530.000000000002
61,480,1,1,yolov8l-pt,bytetrack,900.0,1.615116,1.290711,1.158264,0.40857,0.9408,8985.0,1.0,2.0,1.0,231.0,5314.0,0.0,1293.0,0.38286,0.192867,0.4,14.3,1.0,1.2,15210.000000000002
